m:QueryId	m:ename	m:edomain	m:Url	Score	m:jname	m:Label	m:Comment	m:DocId	Tag	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584850.jpg	9839967	jeshu	1		0	exterior										
1000198832519	Whitelea	"Hotel,"	https://bstatic.com/images/hotel/840x460/158/158584785.jpg	9793014	jeshu			1	exterior										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584785.jpg	9580709	jeshu			2	exterior										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584781.jpg	8767812	jeshu			3	garden										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584848.jpg	8632401	jeshu	7		4	garden										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584782.jpg	7679318	jeshu	2		5											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584823.jpg	7566412	jeshu	3		6	room										
1000198832519	Whitelea	"Hotel,"	https://bstatic.com/images/hotel/840x460/158/158584823.jpg	7545876	jeshu			7	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584859.jpg	7377069	jeshu	9		8	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584877.jpg	7376536	jeshu			9											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584838.jpg	7294265	jeshu			10											
1000198832519	Whitelea	"Hotel,"	https://bstatic.com/images/hotel/840x460/158/158584782.jpg	7162501	jeshu			11											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584818.jpg	7139660	jeshu			12											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584872.jpg	7099118	jeshu	8		13	garden										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584845.jpg	7026503	jeshu			14	garden										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584873.jpg	7006385	jeshu			15											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584874.jpg	6964176	jeshu	10		16											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584826.jpg	6747145	jeshu	5		17	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584790.jpg	6732341	jeshu			18	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584839.jpg	6677662	jeshu			19	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584854.jpg	6632050	jeshu			20	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584832.jpg	6552044	jeshu			21											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584846.jpg	6464325	jeshu	4		22											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584849.jpg	6444002	jeshu			23											
1000198832519	Whitelea	"Hotel,"	https://bstatic.com/images/hotel/840x460/158/158584781.jpg	5726291	jeshu			24	garden										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584804.jpg	2978100	jeshu			25											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584851.jpg	2772502	jeshu			26											
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584856.jpg	2596969	jeshu			27	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584811.jpg	2183583	jeshu	6		28	room										
1000198832519	Whitelea	"Hotel,"	http://bstatic.com/images/hotel/org/158/158584857.jpg	2025958	jeshu			29	room										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	https://s3-media1.fl.yelpcdn.com/bphoto/NRMfAhwFgTuJaswV9k7G4g/o.jpg	9984176	jeshu	1		30	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://static.laterooms.com/hotelphotos/laterooms/202076/gallery/waddington-arms-clitheroe-220220172306180999-1.jpg	9934496	jeshu			31	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	https://media-cdn.tripadvisor.com/media/photo-o/06/f7/ba/a0/waddington-arms.jpg	9847249	jeshu			32	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://whatpub.com/img/LAE/551/waddington-arms-waddington/298/224	9265598	jeshu	6		33	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-s/17/79/a3/c7/bar-area.jpg	8882711	jeshu	2		34											
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-s/17/00/92/0c/waddington-arms.jpg	7466032	jeshu			35											
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-s/0c/16/1a/81/exterior-of-waddington.jpg	7456458	jeshu			36	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	https://s3-media3.fl.yelpcdn.com/bphoto/VXQvVBCQY9BeXN4LqKB48Q/o.jpg	7404342	jeshu			37	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-o/0c/16/1a/81/exterior-of-waddington.jpg	7366746	jeshu			38	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	https://s3-media2.fl.yelpcdn.com/bphoto/ixsd8dOyX3uqj3WhrQ5e3A/o.jpg	7343940	jeshu			39	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-o/16/6a/49/cd/photo4jpg.jpg	7327545	jeshu			40											
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-o/05/6e/7f/04/waddington-arms.jpg	7315276	jeshu	8		41	room										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	https://media-cdn.tripadvisor.com/media/photo-o/05/6e/7f/04/waddington-arms.jpg	7315276	jeshu			42	room										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-s/14/16/cf/5a/waddington-arms.jpg	7102381	jeshu	10		43											
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://media-cdn.tripadvisor.com/media/photo-s/14/a4/13/fd/photo0jpg.jpg	7077367	jeshu	9		44	exterior										
1000198866195	Waddington Arms	"Hotel,Restaurant,"	http://playfoursquare.s3.amazonaws.com/pix/7623755_1Lhengf0VjwFzI9EVxSTT7U8_DbjPXzxIwvWHewGiOg.jpg	7068894	jeshu			45	exterior										
